Código de instalación;Código de compañía;Cod Alternat;Códigos Calculados;Artic Padre;Cod Pre-pack;Ratio de preempacado;Unidades de empacado;Cod EAN Prod;Parte b;Parte c;Parte d;Parte e;Parte f;Total de LPN de salida;Total Act;Activa asignada;Activa disponible;Total de LPN de entrada;LPN de entrada asignada;LPN de entrada disponible;LPN de entrada sin verificar;Total asignado;Total disponible;Total de inventario;Resumen de inventario interno;Unidades secundarias de resumen de inventario interno;Cantidad de orden abierta
B100;FARMACORP;="7772115550680";="7772115550680";False;;0;0;="7772115550680";;;;;;0;0;0;0;3;0;3;0;0;3;3;3;3;0
B100;FARMACORP;="7772115700191";="7772115700191";False;;0;0;="7772115700191";;;;;;0;0;0;0;2578;0;2578;0;0;2578;2578;2578;2578;0
B100;FARMACORP;="7772115710282";="7772115710282";False;;0;0;="7772115710282";;;;;;0;0;0;0;1;0;1;0;0;1;1;1;1;0
B100;FARMACORP;="7772115890281";="7772115890281";False;;0;0;="7772115890281";;;;;;0;0;0;0;20;1;19;0;1;19;20;20;20;0
B100;FARMACORP;="7772115890304";="7772115890304";False;;0;0;="7772115890304";;;;;;0;0;0;0;6;0;6;0;0;6;6;6;6;0
B100;FARMACORP;="7772115890311";="7772115890311";False;;0;0;="7772115890311";;;;;;0;0;0;0;4;0;4;0;0;4;4;4;4;0
B100;FARMACORP;="7772116030129";="7772116030129";False;;0;0;="7772116030129";;;;;;0;0;0;0;8844;0;8844;0;0;8844;8844;8844;8844;0
B100;FARMACORP;="7772116030976";="7772116030976";False;;0;0;="7772116030976";;;;;;0;0;0;0;28;0;24;0;0;24;28;28;28;0
B100;FARMACORP;="7772299700352";="7772299700352";False;;0;0;="7772299700352";;;;;;0;0;0;0;6;0;6;0;0;6;6;6;6;0
B100;FARMACORP;="7772300000006";="7772300000006";False;;0;0;="7772300000006";;;;;;0;0;0;0;11;2;9;0;2;9;11;11;11;0
B100;FARMACORP;="7772300000013";="7772300000013";False;;0;0;="7772300000013";;;;;;0;0;0;0;11;0;11;0;0;11;11;11;11;0
B100;FARMACORP;="7772300000020";="7772300000020";False;;0;0;="7772300000020";;;;;;0;0;0;0;34;0;34;0;0;34;34;34;34;0
B100;FARMACORP;="7772300000105";="7772300000105";False;;0;0;="7772300000105";;;;;;0;0;0;0;22;0;22;0;0;22;22;22;22;0
B100;FARMACORP;="7772300000129";="7772300000129";False;;0;0;="7772300000129";;;;;;0;0;0;0;61;0;61;0;0;61;61;61;61;0
B100;FARMACORP;="7772300000242";="7772300000242";False;;0;0;="7772300000242";;;;;;0;0;0;0;61;0;61;0;0;61;61;61;61;0
B100;FARMACORP;="7772300000259";="7772300000259";False;;0;0;="7772300000259";;;;;;0;0;0;0;40;0;40;0;0;40;40;40;40;0
B100;FARMACORP;="7772300000266";="7772300000266";False;;0;0;="7772300000266";;;;;;0;0;0;0;30;0;30;0;0;30;30;30;30;0
B100;FARMACORP;="7772300000358";="7772300000358";False;;0;0;="7772300000358";;;;;;0;0;0;0;18;0;18;0;0;18;18;18;18;0
B100;FARMACORP;="7772300000365";="7772300000365";False;;0;0;="7772300000365";;;;;;0;0;0;0;46;0;46;0;0;46;46;46;46;0
B100;FARMACORP;="7772300000440";="7772300000440";False;;0;0;="7772300000440";;;;;;0;0;0;0;42;0;42;0;0;42;42;42;42;0
B100;FARMACORP;="7772300000464";="7772300000464";False;;0;0;="7772300000464";;;;;;0;0;0;0;14;0;14;0;0;14;14;14;14;0
B100;FARMACORP;="7772300000730";="7772300000730";False;;0;0;="7772300000730";;;;;;0;0;0;0;29;0;29;0;0;29;29;29;29;0
